time_close,time_period_start,time_period_end,time_open,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-07-14 23:59:59.994465+00:00,2022-07-14T00:00:00.0000000Z,2022-07-15T00:00:00.0000000Z,2022-07-14T00:00:00.0980000Z,20222.3,20899.47,19595.476,20577.02,35979.84987619,542261
2022-07-15 23:59:59.583810+00:00,2022-07-15T00:00:00.0000000Z,2022-07-16T00:00:00.0000000Z,2022-07-15T00:00:00.6036040Z,20574.96,21198.0,20368.67,20827.55,26784.68154917,512820
2022-07-16 23:59:59.756971+00:00,2022-07-16T00:00:00.0000000Z,2022-07-17T00:00:00.0000000Z,2022-07-16T00:00:00.0496280Z,20823.06,21582.71,20472.68,21189.68,19987.30836529,423640
2022-07-17 23:59:59.996205+00:00,2022-07-17T00:00:00.0000000Z,2022-07-18T00:00:00.0000000Z,2022-07-17T00:00:00.0349750Z,21189.23,21667.1,20748.7,20791.74,18656.35187601,440661
2022-07-18 23:59:59.865747+00:00,2022-07-18T00:00:00.0000000Z,2022-07-19T00:00:00.0000000Z,2022-07-18T00:00:00.0133520Z,20791.74,22777.0,20755.95,22427.56,52849.50554483,711554
2022-07-19 23:59:59.715942+00:00,2022-07-19T00:00:00.0000000Z,2022-07-20T00:00:00.0000000Z,2022-07-19T00:00:00.1043620Z,22434.97,23800.0,21572.0,23395.06,58491.67314026,731857
2022-07-20 23:59:58.959253+00:00,2022-07-20T00:00:00.0000000Z,2022-07-21T00:00:00.0000000Z,2022-07-20T00:00:00.1408400Z,23398.46,24287.13,22893.95,23226.99,55200.6522769,708323
2022-07-21 23:59:59.828000+00:00,2022-07-21T00:00:00.0000000Z,2022-07-22T00:00:00.0000000Z,2022-07-21T00:00:00.4901410Z,23225.24,23436.5,22340.07,23163.34,38854.0070156,564636
2022-07-22 23:59:59.962873+00:00,2022-07-22T00:00:00.0000000Z,2022-07-23T00:00:00.0000000Z,2022-07-22T00:00:00.1808580Z,23152.76,23764.999,22505.56,22687.68,32724.98175886,531549
2022-07-23 23:59:59.433274+00:00,2022-07-23T00:00:00.0000000Z,2022-07-24T00:00:00.0000000Z,2022-07-23T00:00:00.6705180Z,22688.85,23006.16,21941.01,22450.69,19805.47143619,383921
2022-07-24 23:59:59.866343+00:00,2022-07-24T00:00:00.0000000Z,2022-07-25T00:00:00.0000000Z,2022-07-24T00:00:00.1062750Z,22451.36,23036.46,22263.85,22583.43,18861.02145104,312799
2022-07-25 23:59:59.839034+00:00,2022-07-25T00:00:00.0000000Z,2022-07-26T00:00:00.0000000Z,2022-07-25T00:00:00.0585510Z,22583.37,22673.68,21250.0,21313.41,34922.89168232,486277
2022-07-26 23:59:59.920635+00:00,2022-07-26T00:00:00.0000000Z,2022-07-27T00:00:00.0000000Z,2022-07-26T00:00:00.0600000Z,21299.7,21344.43,20696.0,21261.57,31071.23049033,489090
2022-07-27 23:59:59.972101+00:00,2022-07-27T00:00:00.0000000Z,2022-07-28T00:00:00.0000000Z,2022-07-27T00:00:00.1404380Z,21260.22,23152.51,21044.001,22962.59,41682.58903278,586935
2022-07-28 23:59:59.578623+00:00,2022-07-28T00:00:00.0000000Z,2022-07-29T00:00:00.0000000Z,2022-07-28T00:00:00.8085320Z,22960.74,25000.0,22487.9,23851.7,44677.39486187,640079
2022-07-29 23:59:59.899327+00:00,2022-07-29T00:00:00.0000000Z,2022-07-30T00:00:00.0000000Z,2022-07-29T00:00:00.1469250Z,23851.66,24499.3,23429.71,23784.5,33558.40918175,571574
2022-07-30 23:59:59.897046+00:00,2022-07-30T00:00:00.0000000Z,2022-07-31T00:00:00.0000000Z,2022-07-30T00:00:00.3280000Z,23784.6,24699.8,23516.11,23650.13,21081.21676428,423062
2022-07-31 23:59:59.730318+00:00,2022-07-31T00:00:00.0000000Z,2022-08-01T00:00:00.0000000Z,2022-07-31T00:00:00.3353950Z,23648.15,24199.99,23240.01,23307.44,14898.59152205,357874
2022-08-01 23:59:59.775015+00:00,2022-08-01T00:00:00.0000000Z,2022-08-02T00:00:00.0000000Z,2022-08-01T00:00:00.1683460Z,23307.44,23524.8,22850.0,23273.86,24930.04045364,466478
2022-08-02 23:59:59.967271+00:00,2022-08-02T00:00:00.0000000Z,2022-08-03T00:00:00.0000000Z,2022-08-02T00:00:00.1322450Z,23273.85,23469.1,22649.1,22989.4,28276.03184283,487785
2022-08-03 23:59:59.848689+00:00,2022-08-03T00:00:00.0000000Z,2022-08-04T00:00:00.0000000Z,2022-08-03T00:00:00.1300110Z,22994.78,23652.0,22686.12,22825.0,35400.96206096,584883
2022-08-04 23:59:59.913000+00:00,2022-08-04T00:00:00.0000000Z,2022-08-05T00:00:00.0000000Z,2022-08-04T00:00:00.5396210Z,22824.88,23234.29,22392.88,22625.5,31438.73467475,629464
2022-08-05 23:59:59.746000+00:00,2022-08-05T00:00:00.0000000Z,2022-08-06T00:00:00.0000000Z,2022-08-05T00:00:00.0617700Z,22624.44,23478.58,22587.94,23326.4,40276.69921289,849781
